is_success,count,mean,std,min,25%,50%,75%,max
False,7557.00,323867637499.43,590880574868.79,16766514438.00,48971809350.00,60547000000.00,240578000000.00,6921953388416.00
True,3719.00,935135747750.33,812848182838.99,157627167571.00,468116889358.00,704531000000.00,1102568656809.50,11717383635893.00
