uuid,computer_name,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,P1_Tx [W],P1_Rx1 [W],P1_Rx2 [W],P2_Tx [W],P2_Rx1 [W],P2_Rx2 [W],B_mean_left [T],B_mean_center [T],B_mean_right [T],B_mean_top_left [T],B_mean_bottom_left [T],B_mean_top_right [T],B_mean_bottom_right [T],Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Magnetizing Current [A],Coreloss_W
5eb5f0a5-017c-4d88-b035-4b759477577e,DESKTOP-RMS1URL,8.0,8.2,2.2,10.4,15.2,25.6,0.0,0.5,14.0,22.0,0.105,0.04,2.0,14.0,0.175,0.02,0.1,0.48,1.4,2.7,4.7,3.5,17.0,25.0,0.6,1.7,1.5,3.8,0.28,1.0,8.74090629900601,3.29759238931647,0.139948886877066,3.37468227934234,0.153078395982474,0.153618590261933,0.118002835241476,0.242719220886306,0.175407661770945,0.624629498118437,0.62544927770541,0.597131543365797,0.596972957566347,134.060572883718,5.50241609955243,5.50945689159346,26.0537903951739,26.0535109150325,0.959276189465615,0.958652757988462,123.363988050789,5.06338276313675,5.06327413346566,10.6965848329289,0.439033336415679,0.446182758127797,2.541284599347538,32.0304
486ebc14-6057-45d0-accb-295290004460,DESKTOP-RMS1URL,12.8,7.0,3.4,11.6,8.0,17.2,0.0,0.51,14.0,32.0,0.14,0.09,2.0,25.0,0.035,0.02,0.1,0.5,1.0,0.7,1.9,2.7,19.0,11.0,2.7,1.1,4.7,2.2,0.69,1.7,3.17389188037652,9.37179859826996,0.241168388223988,0.691926670727199,0.0764555287551472,0.0778746960988098,0.0905830654748238,0.133714197304317,0.11407967612969,0.236778580882644,0.237070522519957,0.241001798402662,0.240287637945731,230.772703228529,9.44976098809097,9.4531762757572,45.8627074341444,45.8619617311916,0.982103046761284,0.981909655764834,222.586363384292,9.11454389433132,9.11424750157913,8.1863398442369,0.33521709375964504,0.338928774178069,1.4084555683508138,4.76714
d2b08f0a-dbb3-4cc2-9bb7-0e8f6e5d3ed0,DESKTOP-RMS1URL,47.6,4.6,9.4,16.4,11.6,35.2,0.0,0.5,14.0,35.0,0.105,0.08,2.0,13.0,0.175,0.03,0.1,0.27,1.2,3.3,3.8,2.2,25.0,26.0,1.3,3.2,2.8,1.9,0.86,1.9,6.50533036180341,3.86820945500388,0.671511689338287,0.0892900429638313,0.0157088477517394,0.015454838732827,0.0378195417729811,0.0257838898663748,0.0440882077192375,0.0226484400739577,0.0225571181079443,0.02275067862011,0.0228261811078917,783.176787806474,31.6067054894743,31.6121197387555,155.908858949122,155.908886717723,0.990948933631432,0.990864245915394,769.063776891019,31.0371459896022,31.0371570455256,14.1130109154547,0.5695594998721261,0.574962693229939,0.40764239893720683,0.000482086
87c15a7c-7bc5-44ce-be53-ba49d86eac50,DESKTOP-RMS1URL,16.4,11.8,2.2,14.0,5.6,22.0,0.0,0.51,14.0,28.0,0.035,0.03,2.0,33.0,0.105,0.01,0.1,0.17,0.5,2.6,3.5,2.2,28.0,2.0,3.1,3.8,4.1,2.7,0.28,1.0,28.3044368951474,6.96166776293474,1.10339793438896,1.26854536462416,0.141279554705981,0.139281806567958,0.0436532687772082,0.0887605727372415,0.057695694886109,0.309411225212328,0.297352984455677,0.305209373592986,0.295937260343134,367.345153886273,14.802700841582,14.8051645347175,72.4973140019593,72.496781222242,0.983137536340576,0.983048507681873,355.060917176313,14.3076898712154,14.3074795787636,12.2842367099601,0.495010970366617,0.497684955953907,0.882955537434967,4.12071
76a22367-93af-4e9d-8346-3236f6f1e7e4,DESKTOP-RMS1URL,15.2,1.0,7.0,5.6,17.6,36.4,0.0,0.51,14.0,13.0,0.07,0.07,2.0,15.0,0.175,0.05,0.1,0.43,1.8,1.1,3.0,3.3,23.0,8.0,0.7,0.2,1.2,4.1,1.02,2.6,3.88150735360716,1.68648902994404,0.318270622188026,4.02354831146013,0.571859213519035,0.579711274718545,0.324780939264401,0.244063489036987,0.516829327898141,0.0976172859776,0.0974087335946863,0.0932346190896405,0.0937904721171667,89.8256703881751,3.76748544930821,3.77040318572637,17.677867730721,17.678663116386,0.960956778734778,0.960628107195918,82.9484311776837,3.47903896686093,3.47935204081494,6.87723921049139,0.28844648244728305,0.291051144911435,3.7794928547353654,27.5209
1e32ed31-2a14-4c21-aff4-8eddeed7789b,DESKTOP-RMS1URL,42.8,2.2,10.6,9.2,6.8,53.2,0.0,0.5,14.0,31.0,0.14,0.02,2.0,27.0,0.14,0.04,0.1,0.46,0.3,1.7,3.3,3.8,11.0,11.0,2.8,1.6,2.5,3.9,0.19,3.0,13.1233644220361,5.88705923135578,3.3828884526968,0.582676434568018,0.183378861706581,0.182514168636395,0.0767742494666852,0.0519123747590252,0.0984699436117778,0.022824359700118,0.0223322358902194,0.0235048108921403,0.0227340477477212,374.768479836206,14.9964834158573,14.9994952404684,73.5855189785802,73.5842182436523,0.981558329524032,0.981442429762239,361.073223181199,14.4484632371259,14.4479524449226,13.6952566550074,0.5480201787313891,0.551542795545766,0.8682532595064163,2.27611
195a7a4a-6c6b-4728-91b6-1fda728e257d,DESKTOP-RMS1URL,40.4,1.0,13.0,3.2,20.0,5.2,0.0,0.51,14.0,28.0,0.07,0.06,2.0,32.0,0.07,0.02,0.1,0.26,1.8,2.4,4.2,4.1,30.0,27.0,3.1,4.4,3.5,3.0,0.73,3.6,8.37518581220574,4.68059251919174,1.35484061817626,1.95078830101322,0.667522930629108,0.66488447772675,0.131071240904036,0.154485180917257,0.193539715049331,0.0199653131522221,0.0199872104958417,0.0202615313400413,0.0202886926887238,197.970678072726,8.22662913851741,8.22780899243725,39.3881667791184,39.3884758583006,0.976010237629637,0.97594791421959,188.586072873493,7.83665387886239,7.83677686788541,9.38460519923292,0.389975259655019,0.391032124551836,1.6623868251282126,1.24041
1e809b48-c3fb-406a-9857-a5fc94912b91,DESKTOP-RMS1URL,50.0,11.8,3.4,11.6,21.2,36.4,0.0,0.5,14.0,18.0,0.105,0.04,2.0,26.0,0.105,0.02,0.1,0.34,1.0,1.1,3.7,4.6,18.0,21.0,3.5,1.4,1.6,2.9,0.49,2.8,8.61401426591117,4.28526257977847,0.880373743269916,0.0977745245908625,0.032381247486336,0.0327932982526789,0.0130136127032576,0.0353043221961264,0.0189329898383092,0.0619843080170924,0.0617073866747337,0.0619247796626003,0.061626036048128,897.308711846963,36.1389917492332,36.1441589775766,179.230928080578,179.232705074214,0.995299980448282,0.995238700289252,888.893796582107,35.8000821306013,35.8007920173843,8.41491526485641,0.338909618631907,0.34336696019225704,0.35268893106579974,0.000882471
15a12c44-3aac-475d-bfe9-e2bd2b425a73,DESKTOP-RMS1URL,45.2,3.4,2.2,21.2,4.4,28.0,0.0,0.51,14.0,34.0,0.14,0.1,2.0,13.0,0.105,0.02,0.1,0.36,0.3,1.9,2.0,4.4,0.0,30.0,3.2,3.7,1.1,0.5,0.21,1.9,14.4023258595952,7.7953769705346,2.72797934035039,0.195016767661292,0.068718473417959,0.0678047392893054,0.0540778447256461,0.0217545757085505,0.0656235578738726,0.113070216914185,0.110361815590446,0.104568601696881,0.106523475864991,659.556769619196,26.5027017005121,26.5072716119959,130.747020848561,130.745753198948,0.988918807866076,0.988823971136816,645.020407879538,25.918592982745,25.9180904009672,14.5363617396577,0.584108717767111,0.58918121102871,0.4860357891282606,0.000899096
ffede8d7-7d08-4aaf-8f14-e64116c4b5ac,DESKTOP-RMS1URL,41.6,2.2,10.6,22.4,5.6,24.4,0.0,0.5,14.0,21.0,0.035,0.01,2.0,23.0,0.07,0.01,0.1,0.48,0.7,1.3,2.8,5.0,11.0,3.0,0.4,3.8,3.9,1.7,0.38,1.4,29.7938894601212,9.85928914075775,0.227236685076095,0.781552436965739,0.0268376375403738,0.0265600069338636,0.0882642399548024,0.0224759143154549,0.101145449306684,0.0234753684137738,0.0235815565006839,0.0235945082943075,0.023776341481024,477.045980953769,19.4274641639251,19.4343260098486,95.0126854946712,95.0133387225856,0.986946052868155,0.986778586906585,464.672606200058,18.9235645311603,18.9238247373216,12.3733747537111,0.503899632764822,0.510501272526996,0.6746750265983823,1.02327
499f5ece-4b07-4e26-8751-47b674e446eb,DESKTOP-RMS1URL,41.6,2.2,4.6,8.0,17.6,10.0,0.0,0.5,14.0,31.0,0.175,0.05,2.0,31.0,0.07,0.01,0.1,0.13,2.0,1.9,4.4,3.4,9.0,5.0,2.1,3.8,0.8,2.5,0.51,3.3,5.08833995819078,4.57009632001224,0.761267620491649,0.313628197341279,0.106449682278596,0.104117231013123,0.0801290722331196,0.06231576690227,0.105032707445979,0.0553356054845526,0.0553547095802226,0.0560388436748724,0.0559985055572696,374.720994777744,15.3427418806937,15.3446424667383,74.7231108009927,74.7233450954911,0.985483690479255,0.985425747423576,363.920825312417,14.9005349729314,14.9006284144063,10.8001694653273,0.442206907762267,0.444014052331975,0.8614593646253391,1.02385
80508cdb-4c5b-487d-be3d-a08d56bf779d,DESKTOP-RMS1URL,21.2,3.4,11.8,22.4,23.6,8.8,0.0,0.51,14.0,32.0,0.14,0.01,2.0,31.0,0.175,0.04,0.1,0.2,3.1,3.5,5.0,4.0,18.0,28.0,0.7,0.3,4.2,1.5,0.96,3.1,4.633505394852,2.13186090576494,0.520867029697216,0.327935533309904,0.0334821671342242,0.0346951553237266,0.111979481759263,0.0438739373617879,0.130616394865044,0.041718275134847,0.0416730381812966,0.0416228754369672,0.0416356896721913,354.989453315049,14.7852080427321,14.7871363797999,70.6397178969309,70.6391470642617,0.97505140189746,0.974979944576646,337.497431901939,14.0566704107951,14.0564432305484,17.4920214131097,0.728537631936989,0.7306931492515161,0.9289048547150222,1.10174
68171fed-1b3c-442d-8895-0880e305a90d,DESKTOP-RMS1URL,27.2,7.0,10.6,14.0,24.8,42.4,0.0,0.51,14.0,29.0,0.175,0.05,2.0,14.0,0.14,0.03,0.1,0.22,1.7,3.3,4.8,3.9,12.0,28.0,3.4,3.2,2.1,1.1,0.98,3.2,3.85514175249522,2.4881906292009,0.606993279558805,0.178930527757231,0.0408291646101807,0.0428447354751529,0.0367786151045379,0.0540305190139462,0.0562196182756719,0.0364553630756834,0.0363996560423217,0.0368097083741038,0.0368914901253214,509.571322973777,20.515658333249,20.5190633536379,101.212619054339,101.212883429878,0.989895715676064,0.989816163994946,499.32564139249,20.1031608216421,20.1032658439401,10.2456815812865,0.41249751160693304,0.415797509697849,0.6278528017773832,1.35237
df277d31-15ee-445d-8509-2fa0d7590952,DESKTOP-RMS1URL,8.0,11.8,10.6,15.2,10.4,11.2,0.0,0.51,14.0,26.0,0.14,0.05,2.0,14.0,0.105,0.08,0.1,0.12,1.1,1.7,3.1,2.8,3.0,13.0,0.3,0.3,3.7,4.1,0.83,2.3,3.33070510390739,3.03534469312705,0.720859067990848,0.946913938551968,0.339144984746138,0.327873373763264,0.0794117909422462,0.168996774622636,0.116230547052513,0.12764475480804,0.128072970302341,0.129117235336294,0.129916684234156,211.724407866552,8.60217702984359,8.60390747637166,41.9499425014954,41.9498049053533,0.982973293178855,0.982871214940895,204.575849784711,8.31173738357061,8.31168285853174,7.14855808184136,0.290439646272985,0.29222461783991704,1.5324536267476545,3.6794
b30b09f2-86bc-4158-b8d3-88f4285f435f,DESKTOP-RMS1URL,38.0,9.4,11.8,17.6,12.8,44.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,10.0,0.105,0.05,0.1,0.19,1.0,0.8,4.6,4.7,27.0,23.0,1.0,1.2,3.6,0.8,0.43,2.5,12.2102049476435,4.78610386879201,1.18213339669119,0.106673250324509,0.0305371538912939,0.0295391411870621,0.0234503304002788,0.0304640814419146,0.0280594714661227,0.022627055902889,0.0225533710939114,0.0228740748449074,0.0231711779556181,874.525404355765,35.2062758593006,35.2094990461986,174.570738634067,174.569287779832,0.994890286539648,0.99483647968742,865.611089029544,34.8474071027058,34.846827872779,8.91431532622123,0.35886875659482004,0.36267117341959404,0.36217535440660653,0.00046101700000000003
3d9bd554-43c6-40e4-9dbf-82aac8463f71,DESKTOP-RMS1URL,10.4,2.2,9.4,14.0,10.4,32.8,0.0,0.5,14.0,16.0,0.105,0.09,2.0,6.0,0.105,0.09,0.1,0.27,1.1,1.4,3.7,3.6,15.0,7.0,4.2,4.5,3.0,3.7,0.94,1.0,3.38693305409008,5.52138687545492,0.123395874971325,1.80285220217017,0.122497424302905,0.117510373076383,0.277528009738473,0.145916762831358,0.388326592617784,0.105008560919845,0.105836091298572,0.106525491926037,0.104894905185056,122.174412582281,5.1327289119332,5.1392084618012,24.1355683073503,24.1354090518854,0.963814012178832,0.963199873236799,113.49238728826,4.76798410736338,4.76792118570263,8.68202529402096,0.364744804569821,0.37128727609856904,2.762326270847538,15.0527
85f20db7-f1c6-4b3b-8bb3-3a732e0c522c,DESKTOP-RMS1URL,40.4,2.2,10.6,24.8,18.8,29.2,0.0,0.5,14.0,22.0,0.14,0.08,2.0,28.0,0.07,0.01,0.1,0.36,1.4,2.8,3.3,4.2,7.0,20.0,1.9,1.2,4.2,2.1,0.54,2.6,6.65279829811966,5.78697810633259,0.402345662384705,0.162348245058221,0.0152034582406941,0.0152485586728509,0.0769012496324747,0.0206787926309505,0.101469101480807,0.0235328596449457,0.0235606127706214,0.0236918596848231,0.0236836997612587,506.110964503459,20.5970423061999,20.6013793080402,100.690407528581,100.691135675615,0.986194997088931,0.986098315713354,492.233691495595,20.0322831935059,20.032572923197,13.877273007864,0.5647591126939661,0.568806384843204,0.6368987096251402,1.19587
80d55fd3-b07f-4d0b-9c73-e6065431cd9b,DESKTOP-RMS1URL,52.4,2.2,9.4,5.6,16.4,50.8,0.0,0.5,14.0,29.0,0.175,0.1,2.0,5.0,0.14,0.01,0.1,0.45,2.0,3.0,3.7,1.8,0.0,21.0,0.6,1.2,4.2,3.8,1.31,1.3,5.37110026032941,5.53975391100455,0.29665188650206,0.501604756748883,0.0305558519823856,0.030378073732416,0.0647267078389761,0.0690952411472097,0.0838640521781643,0.021796371175152,0.0217584915042946,0.021612303696312,0.0215273138366199,366.912652990708,15.0726275575052,15.0803330909836,72.4492897594339,72.4488103146138,0.974222833099264,0.973967458624914,348.240515240012,14.3055834784181,14.3053941400484,18.672137750696,0.767044079087133,0.774938950935189,0.9002485042026007,2.39244
63cb154a-f676-4388-be40-9df7835f0fc4,DESKTOP-RMS1URL,20.0,9.4,7.0,17.6,17.6,30.4,0.0,0.5,14.0,35.0,0.14,0.02,2.0,21.0,0.07,0.04,0.1,0.17,1.8,1.4,3.6,3.5,19.0,7.0,3.4,3.8,2.8,0.2,1.32,2.2,4.43996159222636,5.35342342810457,0.738208585218153,0.251900167667747,0.0564459113886717,0.0582849116629409,0.0420178434805188,0.0577879598338202,0.0580316896841869,0.0741227358680813,0.0725806586599133,0.0745089637288891,0.0740308246175409,470.962690402136,19.0364783898184,19.0413032471211,93.6909899951012,93.6917840618476,0.989489684556261,0.989372698938212,461.114783234122,18.6384225017208,18.6387384384877,9.84790716801426,0.39805588809756604,0.402564808633391,0.6798806161640425,1.60369
0c85edfb-47eb-4c77-b782-f0058fa8f07e,DESKTOP-RMS1URL,9.2,8.2,2.2,11.6,23.6,19.6,0.0,0.51,14.0,13.0,0.14,0.03,2.0,31.0,0.14,0.08,0.1,0.49,0.9,1.6,4.1,4.6,11.0,17.0,2.7,3.9,3.8,1.4,0.87,3.2,2.55751073171407,1.63006821295547,0.281077745499586,1.30667549211622,0.226992161524905,0.224687408460185,0.0848677212745898,0.186113166803161,0.144959511473284,0.492831435541609,0.492917587770931,0.516820605301593,0.516719424193695,155.467665586746,6.36209561743836,6.3671651816765,30.8682156079746,30.8705263481204,0.981502455237324,0.981185083482212,149.769320066281,6.12890616980898,6.12982380235367,5.69834552046541,0.23318944762938001,0.237341379322834,2.0932391414264404,29.0063
