w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,fail_level,elapsed
26.0,4.6,11.8,14.0,15.2,8.8,0.0,0.5,14.0,33.0,0.14,0.09,2.0,31.0,0.14,0.06,0.1,0.31,0.7,3.5,3.9,4.4,21.0,13.0,2.4,4.7,3.4,2.2,0.63,1.0,10,868172000000
33.2,8.2,7.0,15.2,24.8,53.2,0.0,0.5,14.0,23.0,0.14,0.08,2.0,20.0,0.07,0.01,0.1,0.25,1.7,2.2,5.0,2.9,28.0,9.0,2.9,4.3,4.4,2.0,0.12,2.8,10,524203000000
39.2,5.8,2.2,16.4,21.2,26.8,0.0,0.5,14.0,17.0,0.07,0.01,2.0,9.0,0.07,0.05,0.1,0.18,2.1,2.2,5.0,4.3,23.0,9.0,0.5,2.5,2.4,1.0,0.73,3.2,10,1147360000000
32.0,5.8,7.0,16.4,22.4,22.0,0.0,0.5,14.0,29.0,0.175,0.03,2.0,35.0,0.14,0.03,0.1,0.17,2.5,2.8,4.2,4.2,1.0,5.0,1.1,0.5,4.5,1.2,1.81,3.7,10,245906000000
8.0,9.4,7.0,10.4,23.6,5.2,0.0,0.5,14.0,35.0,0.105,0.05,2.0,13.0,0.175,0.05,0.1,0.24,2.7,2.5,4.0,4.2,3.0,26.0,2.7,3.6,4.4,2.3,0.85,3.9,10,583484000000
50.0,3.4,8.2,14.0,16.4,10.0,0.0,0.5,14.0,19.0,0.07,0.07,2.0,20.0,0.105,0.08,0.1,0.35,1.9,1.7,4.8,4.4,14.0,30.0,2.3,0.3,1.5,2.7,0.26,3.0,10,1204985000000
10.4,13.0,2.2,16.4,20.0,30.4,0.0,0.5,14.0,31.0,0.175,0.06,2.0,16.0,0.14,0.02,0.1,0.28,2.0,2.0,4.4,3.9,13.0,14.0,4.9,3.1,3.2,2.2,0.4,1.7,10,622485000000
38.0,8.2,11.8,26.0,6.8,42.4,0.0,0.51,14.0,16.0,0.14,0.09,2.0,13.0,0.105,0.02,0.1,0.22,0.3,1.5,3.9,4.4,29.0,27.0,2.6,0.1,4.4,4.8,0.12,2.4,10,206484000000
30.8,9.4,5.8,11.6,22.4,28.0,0.0,0.5,14.0,19.0,0.175,0.07,2.0,33.0,0.105,0.07,0.1,0.16,2.1,2.4,4.7,2.6,11.0,18.0,4.4,1.6,4.5,4.8,0.77,2.1,10,715500000000
48.8,5.8,11.8,16.4,20.0,12.4,0.0,0.5,14.0,30.0,0.14,0.04,2.0,23.0,0.14,0.08,0.1,0.36,2.5,1.9,3.4,4.8,18.0,6.0,1.3,4.7,1.8,4.2,0.7,3.2,10,930422000000
