w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,fail_level,elapsed
38.0,2.2,5.8,4.4,21.2,37.6,0.0,0.5,14.0,14.0,0.105,0.09,2.0,19.0,0.035,0.06,0.1,0.13,2.5,1.8,4.9,4.5,6.0,30.0,0.2,3.0,3.4,4.9,0.95,2.6,8,182329000000
23.6,3.4,2.2,11.6,9.2,41.2,0.0,0.51,14.0,29.0,0.035,0.07,2.0,25.0,0.07,0.09,0.1,0.24,0.7,2.7,3.6,2.5,27.0,30.0,0.3,2.3,4.3,4.9,0.39,1.4,8,50766000000
15.2,2.2,2.2,5.6,11.6,46.0,0.0,0.51,14.0,18.0,0.14,0.1,2.0,33.0,0.175,0.06,0.1,0.05,1.3,2.0,2.1,2.6,27.0,4.0,3.6,2.6,4.7,3.1,1.01,2.0,8,149437000000
42.8,3.4,13.0,11.6,10.4,24.4,0.0,0.5,14.0,22.0,0.175,0.01,2.0,17.0,0.175,0.07,0.1,0.0,1.3,2.9,4.1,3.6,8.0,18.0,0.1,2.2,0.1,1.3,0.98,1.4,8,60703000000
33.2,8.2,9.4,26.0,26.0,31.6,0.0,0.5,14.0,18.0,0.035,0.08,2.0,19.0,0.14,0.09,0.1,0.28,2.1,2.3,4.5,4.7,30.0,29.0,2.3,0.3,0.5,4.7,1.31,4.3,8,54730945295
8.0,5.8,13.0,3.2,14.0,44.8,0.0,0.5,14.0,22.0,0.07,0.07,2.0,3.0,0.105,0.1,0.1,0.12,1.4,2.5,4.1,1.6,0.0,2.0,2.8,4.0,3.7,1.5,1.09,1.2,8,50672000000
26.0,3.4,4.6,15.2,10.4,5.2,0.0,0.51,14.0,34.0,0.07,0.09,2.0,21.0,0.105,0.05,0.1,0.03,0.8,2.6,3.2,3.3,13.0,28.0,3.1,0.3,0.9,4.9,0.4,1.3,8,195891000000
10.4,3.4,7.0,9.2,9.2,50.8,0.0,0.51,14.0,35.0,0.07,0.09,2.0,19.0,0.175,0.07,0.1,0.4,0.9,0.5,2.2,4.1,28.0,27.0,2.6,3.1,0.3,3.3,0.46,1.3,8,53468000000
12.8,5.8,8.2,17.6,15.2,26.8,0.0,0.51,14.0,34.0,0.035,0.05,2.0,10.0,0.035,0.1,0.1,0.48,1.6,0.4,3.8,3.6,24.0,29.0,4.2,4.4,2.0,0.4,0.29,2.7,8,43155742085
33.2,5.8,2.2,20.0,5.6,38.8,0.0,0.5,14.0,35.0,0.07,0.04,2.0,27.0,0.035,0.1,0.1,0.44,0.6,2.6,2.9,2.8,9.0,26.0,0.4,3.6,1.7,1.4,0.32,1.8,8,184937000000
52.4,11.8,7.0,21.2,14.0,32.8,0.0,0.5,14.0,35.0,0.07,0.08,2.0,21.0,0.105,0.08,0.1,0.43,1.3,3.2,3.6,4.6,20.0,6.0,3.6,1.1,1.7,1.3,1.24,2.8,8,49328000000
17.6,8.2,13.0,8.0,8.0,28.0,0.0,0.5,14.0,33.0,0.035,0.05,2.0,9.0,0.035,0.01,0.1,0.21,0.9,2.0,3.5,3.9,14.0,7.0,2.3,0.3,4.5,2.4,0.7,2.9,8,52438000000
14.0,4.6,11.8,22.4,23.6,35.2,0.0,0.51,14.0,30.0,0.14,0.09,2.0,16.0,0.175,0.03,0.1,0.0,1.0,1.7,4.4,4.4,8.0,8.0,0.4,3.3,4.8,1.5,0.31,2.8,8,182844000000
44.0,10.6,5.8,20.0,24.8,32.8,0.0,0.51,14.0,18.0,0.07,0.08,2.0,11.0,0.07,0.08,0.1,0.12,2.3,1.5,4.7,4.7,21.0,3.0,4.7,2.7,3.9,0.9,0.21,3.6,8,53094000000
12.8,4.6,3.4,21.2,17.6,32.8,0.0,0.51,14.0,31.0,0.07,0.01,2.0,16.0,0.07,0.08,0.1,0.16,1.1,0.4,4.1,4.5,18.0,16.0,2.0,1.7,2.5,4.5,0.38,2.7,8,183704000000
21.2,3.4,2.2,20.0,12.8,34.0,0.0,0.5,14.0,35.0,0.035,0.05,2.0,27.0,0.175,0.02,0.1,0.31,1.4,4.6,3.6,2.6,4.0,26.0,2.7,1.2,4.8,3.4,0.84,1.8,8,50469000000
23.6,9.4,5.8,17.6,18.8,30.4,0.0,0.51,14.0,31.0,0.175,0.1,2.0,29.0,0.07,0.03,0.1,0.04,2.2,0.4,4.2,3.0,2.0,20.0,1.1,0.4,1.2,3.3,0.37,2.0,8,184797000000
6.8,1.0,3.4,18.8,6.8,29.2,0.0,0.51,14.0,14.0,0.035,0.03,2.0,7.0,0.14,0.08,0.1,0.0,0.8,1.3,4.4,2.3,11.0,27.0,2.3,3.9,2.2,3.8,0.66,1.5,8,191906000000
11.6,4.6,10.6,23.6,23.6,12.4,0.0,0.51,14.0,23.0,0.14,0.06,2.0,23.0,0.07,0.1,0.1,0.36,1.6,1.2,4.8,3.3,7.0,23.0,2.9,3.1,0.2,4.5,0.12,2.9,8,192172000000
45.2,4.6,13.0,5.6,17.6,25.6,0.0,0.51,14.0,33.0,0.175,0.1,2.0,21.0,0.035,0.09,0.1,0.25,2.0,2.8,4.3,3.7,29.0,3.0,4.3,4.4,0.1,0.6,1.82,3.3,8,55907000000
30.8,4.6,9.4,10.4,10.4,12.4,0.0,0.5,14.0,9.0,0.105,0.1,2.0,35.0,0.105,0.08,0.1,0.03,1.3,1.1,3.3,3.0,5.0,13.0,2.8,0.6,0.1,1.4,0.12,1.4,8,50222508119
5.6,8.2,9.4,2.0,3.2,35.2,0.0,0.5,14.0,3.0,0.035,0.05,2.0,16.0,0.035,0.05,0.1,0.3,0.4,0.2,1.4,3.0,5.0,3.0,0.5,4.0,1.5,2.0,0.16,1.2,8,188187000000
29.6,4.6,8.2,6.8,23.6,42.4,0.0,0.5,14.0,27.0,0.175,0.06,2.0,19.0,0.035,0.06,0.1,0.41,1.6,0.5,4.6,4.6,27.0,13.0,2.9,0.1,3.9,4.6,0.43,3.9,8,29123767919
36.8,3.4,13.0,14.0,3.2,4.0,0.0,0.51,14.0,5.0,0.035,0.06,2.0,14.0,0.175,0.02,0.1,0.27,0.2,0.3,1.5,2.3,11.0,25.0,1.7,1.0,0.9,4.3,0.11,1.3,8,18623559977
33.2,11.8,8.2,18.8,4.4,37.6,0.0,0.5,14.0,34.0,0.07,0.09,2.0,25.0,0.175,0.09,0.1,0.12,0.5,1.1,2.3,4.7,5.0,14.0,2.6,2.5,0.9,2.9,0.13,1.7,8,53077700789
12.8,2.2,11.8,3.2,15.2,34.0,0.0,0.5,14.0,23.0,0.175,0.08,2.0,27.0,0.035,0.05,0.1,0.33,1.5,2.9,4.6,4.3,19.0,4.0,2.7,1.1,1.5,0.9,0.2,2.5,8,26284651198
30.8,1.0,9.4,8.0,10.4,30.4,0.0,0.51,14.0,23.0,0.035,0.05,2.0,7.0,0.035,0.04,0.1,0.5,1.2,2.4,3.5,1.7,10.0,5.0,0.1,4.9,0.8,3.4,0.69,1.5,8,52575624354
5.6,9.4,3.4,9.2,6.8,8.8,0.0,0.5,14.0,21.0,0.035,0.03,2.0,11.0,0.14,0.03,0.1,0.06,0.6,2.0,1.4,2.2,1.0,0.0,2.6,5.0,4.5,2.1,0.28,1.0,8,66488868768
28.4,7.0,8.2,8.0,23.6,12.4,0.0,0.5,14.0,20.0,0.175,0.09,2.0,11.0,0.035,0.05,0.1,0.37,1.3,2.4,4.8,5.0,9.0,3.0,2.0,5.0,4.4,3.2,0.41,4.3,8,74071941950
29.6,2.2,2.2,26.0,16.4,47.2,0.0,0.51,14.0,26.0,0.07,0.06,2.0,34.0,0.07,0.09,0.1,0.09,1.3,2.4,3.4,2.0,12.0,28.0,0.2,1.5,4.5,2.1,0.14,1.6,8,51773995954
23.6,2.2,7.0,12.8,21.2,49.6,0.0,0.5,14.0,20.0,0.07,0.07,2.0,12.0,0.14,0.09,0.1,0.15,1.7,1.9,3.6,4.9,17.0,8.0,1.0,3.1,1.0,3.0,0.19,2.9,8,56503183512
26.0,7.0,9.4,12.8,8.0,13.6,0.0,0.5,14.0,32.0,0.035,0.05,2.0,18.0,0.105,0.08,0.1,0.04,0.9,2.3,4.0,1.6,19.0,28.0,1.1,1.7,3.6,1.2,0.54,1.2,8,19725010055
10.4,5.8,5.8,8.0,5.6,19.6,0.0,0.51,14.0,32.0,0.035,0.07,2.0,5.0,0.175,0.07,0.1,0.26,0.3,1.3,2.6,3.4,3.0,11.0,3.3,1.1,4.0,1.9,0.28,1.4,8,53128590388
32.0,9.4,7.0,21.2,14.0,37.6,0.0,0.51,14.0,17.0,0.035,0.07,2.0,26.0,0.035,0.1,0.1,0.23,1.0,0.6,2.8,4.9,13.0,2.0,0.2,3.5,2.7,2.4,0.34,1.8,8,49169847387
12.8,9.4,7.0,21.2,6.8,7.6,0.0,0.5,14.0,20.0,0.175,0.04,2.0,9.0,0.14,0.08,0.1,0.08,0.4,1.8,3.5,3.6,17.0,22.0,0.6,2.3,2.4,4.8,0.31,1.6,8,51860389439
11.6,8.2,10.6,23.6,11.6,4.0,0.0,0.5,14.0,21.0,0.07,0.09,2.0,12.0,0.14,0.09,0.1,0.22,1.3,0.8,4.6,4.8,23.0,16.0,0.2,1.8,3.7,4.4,0.39,3.6,8,24454650287
46.4,11.8,7.0,26.0,12.8,25.6,0.0,0.51,14.0,30.0,0.105,0.06,2.0,34.0,0.035,0.08,0.1,0.24,1.2,1.1,2.9,4.8,30.0,2.0,2.7,2.7,3.8,2.4,0.62,2.6,8,23954137401
20.0,3.4,11.8,23.6,26.0,26.8,0.0,0.51,14.0,14.0,0.14,0.04,2.0,20.0,0.14,0.1,0.1,0.02,2.2,0.3,4.3,4.1,17.0,11.0,1.6,2.0,3.0,4.7,0.24,4.0,8,51210772508
51.2,8.2,13.0,8.0,12.8,53.2,0.0,0.5,14.0,14.0,0.175,0.09,2.0,28.0,0.175,0.07,0.1,0.03,1.4,1.8,4.7,3.0,1.0,18.0,4.8,0.4,3.6,1.8,0.27,1.4,8,91094112649
45.2,4.6,10.6,23.6,21.2,8.8,0.0,0.51,14.0,27.0,0.14,0.09,2.0,27.0,0.035,0.08,0.1,0.25,2.9,2.4,4.2,5.0,0.0,23.0,0.7,0.6,1.5,4.5,0.11,2.7,8,49368935947
8.0,4.6,8.2,12.8,17.6,35.2,0.0,0.5,14.0,32.0,0.07,0.03,2.0,33.0,0.07,0.08,0.1,0.5,1.8,3.8,4.3,2.3,9.0,16.0,4.5,0.6,4.7,1.3,1.38,1.3,8,29546394884
16.4,1.0,10.6,5.6,8.0,13.6,0.0,0.51,14.0,19.0,0.105,0.08,2.0,8.0,0.035,0.1,0.1,0.47,0.5,0.4,4.8,3.6,10.0,17.0,5.0,4.7,4.7,0.1,0.39,1.9,8,26613313360
30.8,10.6,3.4,12.8,23.6,11.2,0.0,0.51,14.0,34.0,0.07,0.04,2.0,21.0,0.175,0.03,0.1,0.13,2.7,2.9,5.0,4.9,27.0,11.0,4.5,2.6,2.3,2.3,2.33,3.0,8,77989359429
16.4,5.8,8.2,14.0,5.6,5.2,0.0,0.5,14.0,27.0,0.175,0.02,2.0,29.0,0.07,0.1,0.1,0.03,0.6,2.4,1.9,1.7,17.0,4.0,1.6,3.0,1.3,0.9,0.19,1.0,8,27904771309
5.6,2.2,2.2,24.8,8.0,53.2,0.0,0.51,14.0,21.0,0.035,0.05,2.0,10.0,0.175,0.09,0.1,0.31,0.9,2.7,3.6,2.8,5.0,21.0,3.8,1.6,2.3,3.9,0.2,1.9,8,80682821649
39.2,10.6,11.8,14.0,12.8,4.0,0.0,0.51,14.0,12.0,0.035,0.05,2.0,23.0,0.175,0.08,0.1,0.42,0.6,1.5,4.6,2.8,3.0,23.0,2.5,3.2,2.9,2.6,0.44,1.3,8,27770642070
10.4,5.8,4.6,24.8,18.8,52.0,0.0,0.5,14.0,17.0,0.07,0.08,2.0,7.0,0.14,0.09,0.1,0.42,1.5,2.1,5.0,2.2,15.0,20.0,1.3,1.1,1.7,1.9,1.43,2.0,8,18844832718
32.0,3.4,10.6,14.0,15.2,36.4,0.0,0.51,14.0,20.0,0.07,0.1,2.0,33.0,0.175,0.09,0.1,0.2,1.6,2.6,4.3,2.0,1.0,24.0,4.9,1.5,4.7,1.1,0.6,1.5,8,114725096283
51.2,8.2,11.8,10.4,12.8,41.2,0.0,0.51,14.0,23.0,0.175,0.06,2.0,24.0,0.035,0.09,0.1,0.32,1.6,0.9,2.9,2.0,28.0,4.0,3.7,2.8,1.8,4.0,0.4,1.3,8,20729045190
10.4,11.8,2.2,8.0,20.0,18.4,0.0,0.51,14.0,33.0,0.105,0.07,2.0,27.0,0.175,0.02,0.1,0.03,1.0,4.5,4.1,2.8,19.0,6.0,4.3,4.1,0.4,2.7,0.32,2.2,8,36588437908
6.8,4.6,4.6,9.2,11.6,12.4,0.0,0.5,14.0,17.0,0.035,0.06,2.0,5.0,0.14,0.09,0.1,0.32,0.6,2.3,3.0,3.5,5.0,21.0,4.4,4.1,0.4,4.4,0.3,1.1,8,50773778500
38.0,8.2,3.4,9.2,23.6,20.8,0.0,0.51,14.0,27.0,0.175,0.05,2.0,22.0,0.035,0.06,0.1,0.07,1.6,2.2,4.1,3.8,12.0,5.0,3.4,2.6,3.9,1.9,1.41,3.0,8,25569188556
20.0,9.4,8.2,18.8,22.4,31.6,0.0,0.51,14.0,34.0,0.07,0.03,2.0,13.0,0.07,0.1,0.1,0.08,2.0,2.7,3.7,4.1,27.0,19.0,2.4,0.5,1.8,1.7,0.91,3.1,8,25725538254
44.0,13.0,11.8,22.4,8.0,48.4,0.0,0.51,14.0,30.0,0.035,0.07,2.0,8.0,0.035,0.03,0.1,0.29,0.5,2.8,3.7,1.8,18.0,24.0,2.8,0.7,0.7,2.6,0.12,1.6,8,173632176008
27.2,4.6,9.4,17.6,24.8,48.4,0.0,0.51,14.0,15.0,0.105,0.07,2.0,9.0,0.07,0.1,0.1,0.39,1.3,1.1,3.9,4.1,10.0,12.0,0.7,0.7,2.7,1.1,0.24,3.8,8,99882492792
42.8,4.6,8.2,21.2,11.6,37.6,0.0,0.51,14.0,28.0,0.07,0.08,2.0,6.0,0.105,0.07,0.1,0.14,1.1,3.4,4.8,3.5,19.0,13.0,2.0,0.1,3.4,1.7,0.84,1.9,8,49223405164
47.6,3.4,2.2,9.2,17.6,52.0,0.0,0.5,14.0,29.0,0.14,0.08,2.0,27.0,0.14,0.01,0.1,0.01,0.8,3.8,4.6,3.3,6.0,25.0,1.5,2.5,1.3,2.7,0.1,2.6,8,25172132826
39.2,1.0,11.8,10.4,6.8,44.8,0.0,0.51,14.0,16.0,0.035,0.06,2.0,35.0,0.035,0.1,0.1,0.22,0.6,0.3,3.8,3.7,5.0,17.0,0.5,2.2,0.1,2.1,0.29,1.6,8,23964173086
32.0,13.0,11.8,17.6,4.4,35.2,0.0,0.51,14.0,24.0,0.07,0.08,2.0,30.0,0.07,0.07,0.1,0.29,0.3,2.3,2.2,3.2,17.0,30.0,0.9,4.9,3.6,1.5,0.1,1.3,8,77939792610
40.4,7.0,10.6,17.6,4.4,5.2,0.0,0.5,14.0,31.0,0.035,0.09,2.0,16.0,0.175,0.07,0.1,0.12,0.3,1.7,2.9,2.6,14.0,3.0,1.9,2.3,4.8,4.3,0.11,1.0,8,24035471290
6.8,7.0,10.6,22.4,15.2,41.2,0.0,0.5,14.0,20.0,0.035,0.05,2.0,24.0,0.07,0.09,0.1,0.27,1.3,0.7,2.5,2.3,0.0,7.0,1.5,4.6,2.6,0.3,0.59,2.2,8,41824488647
34.4,5.8,7.0,15.2,4.4,29.2,0.0,0.5,14.0,17.0,0.105,0.1,2.0,32.0,0.105,0.01,0.1,0.03,0.4,2.3,2.8,2.8,8.0,11.0,1.8,0.7,1.7,2.2,0.26,1.4,8,20305879004
51.2,8.2,8.2,15.2,17.6,48.4,0.0,0.51,14.0,15.0,0.14,0.07,2.0,28.0,0.035,0.06,0.1,0.41,1.6,0.4,4.8,4.6,2.0,13.0,4.1,2.2,1.1,3.8,0.36,4.2,8,27114365393
14.0,5.8,4.6,6.8,15.2,4.0,0.0,0.51,14.0,21.0,0.07,0.08,2.0,22.0,0.105,0.01,0.1,0.07,2.0,0.2,3.3,4.8,30.0,23.0,2.9,1.5,0.5,3.0,0.19,2.6,8,48453944817
44.0,2.2,2.2,18.8,6.8,17.2,0.0,0.51,14.0,31.0,0.07,0.09,2.0,9.0,0.035,0.04,0.1,0.1,0.4,1.9,2.7,4.1,16.0,14.0,0.1,1.0,3.6,3.0,0.38,1.3,8,24472420246
45.2,9.4,11.8,20.0,6.8,8.8,0.0,0.5,14.0,32.0,0.035,0.01,2.0,19.0,0.07,0.1,0.1,0.38,0.7,1.0,2.9,2.3,3.0,1.0,2.9,1.6,0.2,1.5,0.45,1.3,8,24164596746
44.0,7.0,2.2,9.2,24.8,29.2,0.0,0.5,14.0,34.0,0.07,0.04,2.0,33.0,0.105,0.09,0.1,0.09,3.0,3.1,4.8,3.9,15.0,28.0,1.3,2.7,3.1,4.8,1.48,3.8,8,65685518219
46.4,2.2,5.8,18.8,5.6,18.4,0.0,0.5,14.0,33.0,0.035,0.05,2.0,32.0,0.035,0.1,0.1,0.02,0.6,3.2,2.5,2.8,21.0,13.0,0.1,0.7,0.9,0.5,0.47,2.4,8,72611974923
36.8,1.0,7.0,14.0,11.6,30.4,0.0,0.51,14.0,25.0,0.07,0.02,2.0,18.0,0.175,0.09,0.1,0.07,0.9,1.2,2.6,3.8,24.0,12.0,0.7,3.8,3.7,0.5,0.63,1.9,8,21939054543
8.0,8.2,2.2,14.0,15.2,28.0,0.0,0.51,14.0,31.0,0.105,0.06,2.0,25.0,0.175,0.02,0.1,0.05,1.2,3.8,4.3,4.2,14.0,28.0,0.5,3.3,0.6,3.9,0.41,4.0,8,50789125341
39.2,13.0,4.6,11.6,5.6,35.2,0.0,0.5,14.0,35.0,0.105,0.1,2.0,15.0,0.175,0.08,0.1,0.11,0.7,4.7,1.5,3.3,10.0,11.0,0.5,3.7,2.1,2.4,0.27,1.1,8,90955363226
33.2,5.8,2.2,24.8,8.0,18.4,0.0,0.5,14.0,21.0,0.14,0.08,2.0,34.0,0.07,0.09,0.1,0.35,0.6,2.3,2.5,3.6,30.0,30.0,1.8,1.6,4.1,0.3,0.41,2.0,8,50528386224
28.4,9.4,13.0,23.6,4.4,29.2,0.0,0.5,14.0,22.0,0.105,0.01,2.0,32.0,0.035,0.05,0.1,0.18,0.5,1.5,2.2,2.1,14.0,2.0,1.5,1.5,2.5,3.1,0.32,1.2,8,30167576152
52.4,4.6,9.4,23.6,9.2,36.4,0.0,0.5,14.0,31.0,0.07,0.09,2.0,30.0,0.07,0.06,0.1,0.11,0.9,2.2,3.4,1.8,4.0,23.0,4.4,4.8,2.5,3.9,0.58,1.2,8,80754694885
16.4,3.4,9.4,18.8,3.2,38.8,0.0,0.51,14.0,32.0,0.175,0.07,2.0,22.0,0.035,0.06,0.1,0.0,0.4,1.0,2.0,4.0,7.0,13.0,3.1,1.5,2.7,1.0,0.26,1.1,8,53912042206
48.8,9.4,5.8,26.0,12.8,25.6,0.0,0.5,14.0,30.0,0.035,0.08,2.0,12.0,0.14,0.09,0.1,0.08,1.3,2.5,3.7,3.1,23.0,17.0,0.2,4.9,2.5,4.1,1.07,2.1,8,202039463911
41.6,11.8,7.0,20.0,5.6,42.4,0.0,0.5,14.0,26.0,0.175,0.06,2.0,26.0,0.035,0.09,0.1,0.26,0.3,2.3,1.5,1.1,26.0,22.0,3.7,4.0,0.6,1.9,0.21,1.0,8,77840297379
34.4,1.0,10.6,3.2,11.6,50.8,0.0,0.51,14.0,20.0,0.035,0.05,2.0,16.0,0.175,0.1,0.1,0.4,1.4,1.9,3.7,2.5,5.0,8.0,3.8,0.2,3.0,3.3,0.67,1.8,8,50251525355
33.2,9.4,3.4,8.0,17.6,29.2,0.0,0.51,14.0,31.0,0.14,0.03,2.0,7.0,0.035,0.09,0.1,0.43,2.0,4.1,4.7,3.3,6.0,20.0,4.1,4.7,2.2,3.4,0.33,2.0,8,50861351991
40.4,4.6,9.4,23.6,14.0,43.6,0.0,0.5,14.0,30.0,0.175,0.02,2.0,35.0,0.07,0.1,0.1,0.18,1.4,1.6,4.9,3.5,10.0,30.0,3.5,0.3,4.0,3.4,0.77,3.1,8,50887038315
17.6,4.6,2.2,5.6,20.0,18.4,0.0,0.5,14.0,27.0,0.07,0.06,2.0,34.0,0.105,0.08,0.1,0.11,2.0,0.4,3.3,4.9,23.0,0.0,2.8,0.5,2.7,2.9,0.29,3.1,8,26620106424
32.0,2.2,13.0,23.6,15.2,18.4,0.0,0.5,14.0,25.0,0.07,0.08,2.0,26.0,0.175,0.03,0.1,0.44,1.1,0.9,5.0,4.6,21.0,8.0,4.6,0.9,4.4,3.8,0.6,2.6,8,33979797869
46.4,7.0,7.0,15.2,3.2,52.0,0.0,0.5,14.0,29.0,0.105,0.02,2.0,12.0,0.175,0.09,0.1,0.14,0.4,3.7,1.9,2.3,25.0,3.0,1.6,5.0,0.9,4.0,0.25,1.0,8,56015938087
9.2,2.2,9.4,9.2,14.0,50.8,0.0,0.51,14.0,29.0,0.07,0.09,2.0,21.0,0.105,0.04,0.1,0.44,1.5,3.9,3.9,4.7,11.0,9.0,2.2,2.1,2.0,0.8,0.38,1.6,8,26359565445
34.4,13.0,5.8,4.4,15.2,28.0,0.0,0.5,14.0,33.0,0.175,0.06,2.0,21.0,0.175,0.05,0.1,0.02,1.6,2.8,3.1,3.1,27.0,26.0,1.7,0.2,0.9,2.9,1.56,1.6,8,57764394215
22.4,9.4,9.4,17.6,11.6,47.2,0.0,0.5,14.0,32.0,0.07,0.1,2.0,31.0,0.105,0.06,0.1,0.5,1.2,0.8,3.9,4.2,15.0,25.0,4.4,0.3,3.6,4.5,0.32,2.2,8,50187233699
10.4,10.6,2.2,10.4,14.0,13.6,0.0,0.5,14.0,16.0,0.175,0.09,2.0,10.0,0.14,0.02,0.1,0.06,0.8,1.5,3.0,4.9,11.0,5.0,1.9,3.8,2.4,3.1,0.11,2.8,8,40415484851
29.6,7.0,8.2,11.6,26.0,13.6,0.0,0.51,14.0,18.0,0.07,0.08,2.0,11.0,0.105,0.1,0.1,0.31,3.3,1.1,4.5,4.9,9.0,5.0,1.0,1.1,5.0,3.2,0.94,4.4,8,35218533846
47.6,13.0,7.0,20.0,6.8,13.6,0.0,0.51,14.0,30.0,0.175,0.08,2.0,23.0,0.07,0.08,0.1,0.27,0.6,1.4,2.9,4.4,23.0,11.0,4.6,0.5,1.6,3.4,0.11,2.5,8,43840893713
42.8,11.8,5.8,22.4,18.8,44.8,0.0,0.5,14.0,35.0,0.175,0.03,2.0,23.0,0.035,0.1,0.1,0.15,1.3,3.2,4.4,3.0,19.0,3.0,4.7,4.7,0.5,2.3,0.77,2.2,8,27051567016
41.6,5.8,11.8,20.0,22.4,20.8,0.0,0.5,14.0,30.0,0.07,0.1,2.0,32.0,0.175,0.01,0.1,0.0,2.0,2.6,5.0,4.2,12.0,0.0,0.4,1.2,1.1,1.2,1.09,2.8,8,55142532433
29.6,11.8,3.4,9.2,12.8,10.0,0.0,0.5,14.0,33.0,0.07,0.09,2.0,25.0,0.175,0.1,0.1,0.41,1.0,1.3,4.6,3.2,13.0,9.0,3.2,0.2,0.2,0.3,0.63,1.4,8,24481993228
46.4,11.8,4.6,11.6,10.4,6.4,0.0,0.51,14.0,26.0,0.035,0.07,2.0,27.0,0.07,0.04,0.1,0.34,1.3,2.0,4.7,2.4,14.0,2.0,2.9,2.2,2.6,1.2,0.89,1.0,8,24862028416
18.8,4.6,1.0,3.2,14.0,29.2,0.0,0.51,14.0,25.0,0.035,0.08,2.0,12.0,0.105,0.08,0.1,0.36,1.8,2.0,4.0,3.2,19.0,26.0,0.5,4.8,2.3,4.0,0.71,1.7,8,24927043419
9.2,10.6,9.4,11.6,11.6,53.2,0.0,0.5,14.0,23.0,0.035,0.1,2.0,24.0,0.175,0.06,0.1,0.3,0.8,3.0,3.3,2.4,3.0,13.0,3.4,2.9,3.8,1.5,0.35,1.2,8,64406736143
38.0,2.2,9.4,21.2,10.4,37.6,0.0,0.51,14.0,21.0,0.07,0.1,2.0,26.0,0.14,0.02,0.1,0.35,0.6,2.1,2.3,4.0,30.0,3.0,3.2,1.1,0.4,3.1,0.29,1.3,8,21501168349
21.2,4.6,11.8,6.8,10.4,41.2,0.0,0.51,14.0,26.0,0.14,0.1,2.0,18.0,0.035,0.09,0.1,0.43,1.1,0.6,3.2,4.7,12.0,10.0,0.4,1.4,0.1,1.8,0.5,2.8,8,20258876789
39.2,13.0,4.6,14.0,14.0,8.8,0.0,0.5,14.0,16.0,0.07,0.07,2.0,9.0,0.07,0.08,0.1,0.11,1.6,1.6,3.6,4.6,20.0,10.0,2.1,2.0,3.7,2.1,0.83,2.1,8,25860439951
24.8,3.4,1.0,5.6,5.6,42.4,0.0,0.5,14.0,35.0,0.14,0.01,2.0,34.0,0.035,0.09,0.1,0.08,0.3,4.0,4.2,3.0,12.0,4.0,4.7,3.8,1.3,0.7,0.18,1.2,8,19532730573
16.4,7.0,5.8,17.6,4.4,38.8,0.0,0.51,14.0,31.0,0.14,0.1,2.0,18.0,0.07,0.07,0.1,0.06,0.4,2.7,2.2,3.0,29.0,12.0,3.8,2.8,3.5,1.8,0.2,1.4,8,27167990588
52.4,3.4,8.2,4.4,12.8,49.6,0.0,0.5,14.0,12.0,0.07,0.08,2.0,21.0,0.14,0.08,0.1,0.13,1.6,1.3,4.8,2.5,26.0,0.0,0.4,2.7,1.6,2.5,0.15,1.8,8,54523134102
23.6,7.0,9.4,18.8,26.0,41.2,0.0,0.51,14.0,35.0,0.07,0.07,2.0,13.0,0.14,0.1,0.1,0.03,2.3,3.2,5.0,4.0,4.0,18.0,3.8,3.2,4.8,3.9,0.59,3.4,8,27185321157
20.0,2.2,4.6,12.8,15.2,24.4,0.0,0.51,14.0,31.0,0.105,0.08,2.0,13.0,0.07,0.08,0.1,0.3,1.3,3.2,4.5,4.4,3.0,25.0,4.8,2.4,2.9,2.5,0.84,1.9,8,28680059169
52.4,4.6,9.4,5.6,21.2,18.4,0.0,0.51,14.0,23.0,0.105,0.09,2.0,28.0,0.175,0.08,0.1,0.1,2.1,0.5,4.5,3.2,13.0,27.0,0.3,0.7,0.5,2.6,0.3,2.0,8,26886147190
39.2,1.0,3.4,15.2,15.2,22.0,0.0,0.51,14.0,32.0,0.105,0.1,2.0,13.0,0.035,0.06,0.1,0.22,1.5,3.7,4.5,2.8,27.0,4.0,3.1,3.5,4.6,0.9,1.08,1.9,8,24254292871
34.4,11.8,13.0,14.0,9.2,48.4,0.0,0.5,14.0,18.0,0.175,0.02,2.0,14.0,0.175,0.05,0.1,0.01,0.9,2.4,4.8,3.2,3.0,1.0,3.4,1.8,3.1,2.1,0.39,3.0,8,49706956215
50.0,3.4,10.6,21.2,12.8,5.2,0.0,0.5,14.0,33.0,0.07,0.08,2.0,32.0,0.105,0.09,0.1,0.42,1.5,1.8,4.1,4.0,27.0,7.0,0.2,3.4,0.7,5.0,0.32,3.8,8,21400282764
30.8,4.6,11.8,21.2,3.2,44.8,0.0,0.51,14.0,32.0,0.175,0.04,2.0,13.0,0.07,0.1,0.1,0.49,0.4,1.2,1.5,3.2,20.0,25.0,0.1,4.9,2.8,4.0,0.25,1.4,8,26399067755
